Date,Open,High,Low,Close,per_change,Qty,Turnover,EPS,PE
2/20/2025,384.5,384.5,373.6,374.5,-0.66,42089,15847811.6,2.04,183.5784314
2/18/2025,389,389.6,375,377,-1.31,74518,28374584.9,2.04,184.8039216
2/17/2025,371,386.9,370.7,382,3.05,108899,41212054.5,2.04,187.254902
2/16/2025,367,370.9,365,370.7,2.12,70533,26014490.4,2.04,181.7156863
2/13/2025,360,366,360,363,-0.03,47627,17318839,2.04,177.9411765
2/12/2025,365,370,360,363.1,-0.25,47038,17147454.5,2.04,177.9901961
2/11/2025,367,370,361,364,-0.03,48342,17610510.4,2.04,178.4313725
2/10/2025,369.9,369.9,363.2,364.1,-0.52,28859,10533106.8,2.04,178.4803922
2/9/2025,358.6,370,358.6,366,0.03,55880,20503353.5,2.04,179.4117647
2/6/2025,363,368,359,365.9,0.25,73453,26881083.3,2.04,179.3627451
2/5/2025,366,370.1,363,365,-1.16,50984,18697457,2.04,178.9215686
2/4/2025,379,379,367,369.3,-0.73,54568,20261319.4,2.04,181.0294118
2/3/2025,369.2,385.5,369,372,1.36,147482,55551307.3,2.04,182.3529412
2/2/2025,355,367,355,367,2.8,81796,29683622.2,2.04,179.9019608
1/28/2025,353,362,350,357,1.13,104728,37397715.6,2.04,175
1/27/2025,362.8,362.8,351,353,-0.98,95052,33567863.7,2.04,173.0392157
1/26/2025,362.1,364.9,356,356.5,-2.6,87702,31524673.6,2.04,174.754902
1/23/2025,369,371.8,364.3,366,-1.03,59766,21896885.1,2.04,179.4117647
1/22/2025,359,370,355,369.8,3.01,137664,49669715.4,2.04,181.2745098
1/21/2025,357,361,354,359,0.42,85995,30732031.1,2.04,175.9803922
1/20/2025,362,363.6,351.6,357.5,-2.32,187054,66767422.9,2.04,175.245098
1/19/2025,365.1,370,361.6,366,-0.79,83984,30679994.8,2.04,179.4117647
1/16/2025,375.2,377.8,368,368.9,-2.36,67591,25110905.7,2.04,180.8333333
1/15/2025,370.1,384,370.1,377.8,0.05,51468,19446913.7,2.04,185.1960784
1/13/2025,388.6,388.6,377.5,377.6,-0.89,84072,31908096.2,2.91,129.7594502
1/12/2025,385,385.2,381,381,-0.63,36094,13812729.1,2.91,130.9278351
1/9/2025,386,388,381,383.4,-0.93,78694,30206337.5,2.91,131.7525773
1/8/2025,393.5,393.5,383,387,-0.21,45107,17419527.1,2.91,132.9896907
1/7/2025,395.7,395.7,384,387.8,-0.05,59219,22908320.5,2.91,133.2646048
1/6/2025,388,390,382.1,388,1.04,78034,30121853.6,2.91,133.3333333
1/5/2025,385,389.7,382.7,384,-0.75,88991,34166948.7,2.91,131.9587629
1/2/2025,390,390,377.4,386.9,0.86,58340,22439781.8,2.91,132.9553265
1/1/2025,377.3,388,377.3,383.6,-0.36,43278,16613575.4,2.91,131.8213058
12/31/2024,383.2,395,376.6,385,-1.53,132291,50756067,2.91,132.3024055
12/29/2024,400,404.7,391,391,-2.98,70534,27876541.8,2.91,134.3642612
12/26/2024,388.1,409.9,388,403,1.77,92340,36962239.4,2.91,138.4879725
12/24/2024,395,398,390,396,1.85,51143,20205178.7,2.91,136.0824742
12/23/2024,382.2,391,382.2,388.8,-0.31,82637,32024251.6,2.91,133.6082474
12/22/2024,392.9,400.6,387.1,390,-0.74,73760,28751184,2.91,134.0206186
12/19/2024,384.2,395.1,384.2,392.9,0.23,73620,28901909.4,2.91,135.0171821
12/18/2024,389.1,412,389.1,392,-1.26,83131,32775891.2,2.91,134.7079038
12/17/2024,396,399.9,395.5,397,-0.3,80508,32015293.7,2.91,136.4261168
12/16/2024,403,403,395,398.2,-1.19,113101,45028844.1,2.91,136.838488
12/12/2024,423.3,423.3,402.8,403,-2.89,84801,34642192,2.91,138.4879725
12/11/2024,404,415,397,415,2.47,150942,60777882.1,2.91,142.6116838
12/10/2024,396.9,411,396.9,405,0,58539,23694809.2,2.91,139.1752577
12/9/2024,396.9,411.4,396.9,405,0,66907,27135316,2.91,139.1752577
12/8/2024,409.9,414.9,400.1,405,-1.2,159922,64577191.5,2.91,139.1752577
12/5/2024,406.9,415,406,409.9,-1.28,155704,63754717.8,2.91,140.8591065
12/4/2024,420,425,415,415.2,-1.1,143772,60079128.4,2.91,142.6804124
12/3/2024,436,436,417,419.8,-1.89,410484,172511347.9,2.91,144.2611684
12/2/2024,430,430,425,427.9,-0.21,181491,77567724.1,2.91,147.0446735
12/1/2024,444,444,427.2,428.8,-1.49,126527,54336790.1,2.91,147.3539519
11/28/2024,437,437.9,430,435.3,-0.37,81755,35574057.3,2.91,149.5876289
11/27/2024,435,438.8,431.6,436.9,0.55,77997,33877361.5,2.91,150.137457
11/26/2024,431,435.7,425.1,434.5,2.24,114088,48908653,2.91,149.3127148
11/25/2024,435.5,435.5,422.1,425,-0.47,108838,46178968.1,2.91,146.04811
11/24/2024,430,430,423,427,0.16,112104,47548945.2,2.91,146.7353952
11/21/2024,431,433,426,426.3,-0.84,111250,47655052.8,2.91,146.4948454
11/20/2024,439.8,439.8,428,429.9,-0.3,116555,50011496.1,2.91,147.7319588
11/19/2024,442,442,429.1,431.2,-2.07,230820,99858868.4,2.91,148.1786942
11/17/2024,445.5,447,440,440.3,-1.08,164538,72738307.2,2.91,151.3058419
11/14/2024,450.1,453,443.3,445.1,-1.46,124178,55402034.9,2.91,152.9553265
11/13/2024,464.1,464.1,448,451.7,-1.16,70413,31867704.8,2.91,155.2233677
11/12/2024,463,463,450,457,0.66,98128,44800783,2.91,157.0446735
11/11/2024,458,462.1,450,454,0.93,159935,72757931.2,2.91,156.0137457
11/10/2024,448,449.8,442.1,449.8,2.23,82617,36815029.4,2.91,154.5704467
11/6/2024,445,447,439,440,-0.9,63545,28083991.4,2.91,151.2027491
11/5/2024,440.3,455.8,440,444,-0.4,51361,22962464.4,2.91,152.5773196
10/30/2024,450,454,443.1,445.8,-1.13,77838,34838568.8,2.91,153.1958763
10/29/2024,445,452,445,450.9,1.78,65634,29500622.4,2.91,154.9484536
10/28/2024,452,452,441,443,-0.23,59809,26572257.4,2.91,152.233677
10/27/2024,443,446,437,444,0.23,55784,24654312.4,2.91,152.5773196
10/24/2024,450,455,439,443,-1.99,104890,46521225.2,2.91,152.233677
10/23/2024,460,460,450,452,-2.8,182640,82721217.3,2.91,155.3264605
10/22/2024,475,476,459.5,465,-0.9,104000,48395845.7,2.91,159.7938144
10/21/2024,472,480,468.4,469.2,-2.25,70285,33198853.9,2.91,161.2371134
10/20/2024,484,495,479.1,480,-2.64,187805,90783664.4,2.91,164.9484536
10/17/2024,498,505,493,493,-1.14,80563,40014898.3,2.91,169.4158076
10/16/2024,494,501.9,484,498.7,2.44,302170,147506063.3,9.26,53.85529158
10/15/2024,487.5,489,476,486.8,1.84,14812,7140200.7,9.26,52.57019438
10/9/2024,480,483,473,478,-0.42,38554,18420792.2,9.26,51.61987041
10/8/2024,470,485,468,480,1.05,270991,128676088,9.26,51.83585313
10/7/2024,483,483.4,475,475,0.21,61966,29712489.2,9.26,51.29589633
10/6/2024,470,476.9,462,474,2.6,70077,32814474.9,9.26,51.18790497
10/2/2024,465,474,458,462,0.72,106390,49291155.4,9.26,49.89200864
